player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
socools0da,THA,1.01,199.4,1.07,71%,134.6,0.72,0.21,0.11,0.08,38%,12%
Dark3st,SAD,1.01,202.8,0.97,68%,129.7,0.70,0.39,0.11,0.10,27%,18%
chloric,FOE,1.01,202.6,0.97,72%,138.3,0.67,0.31,0.07,0.08,24%,9%
Sylvan,T1,1.01,166.5,0.98,85%,110.8,0.60,0.51,0.07,0.06,32%,18%
DOXZ3R,NES,1.01,191.3,0.95,66%,134.7,0.64,0.29,0.05,0.06,30%,14%
curry,SEN,1.01,206.2,1.06,72%,134.6,0.73,0.28,0.07,0.10,33%,10%
Annie,O1O,1.01,212.9,1.01,68%,140.6,0.78,0.12,0.18,0.18,35%,20%
gucc107,WVU,1.01,207.0,0.97,69%,132.8,0.73,0.33,0.08,0.09,24%,14%
Looxie,,1.01,190.4,0.96,72%,123.0,0.68,0.36,0.09,0.13,34%,28%
Jsung,,1.01,216.8,0.93,69%,144.2,0.78,0.31,0.08,0.10,34%,11%
sereen,,1.01,223.0,0.97,67%,150.1,0.79,0.20,0.09,0.13,26%,5%
safiaa,NSR.I,1.01,189.7,0.97,71%,133.4,0.68,0.23,0.08,0.07,35%,5%
cavern,MOBAP,1.01,206.2,1.01,69%,138.4,0.70,0.28,0.08,0.09,29%,16%
shyz,TBS,1.01,172.9,0.94,66%,121.5,0.64,0.23,0.04,0.04,30%,14%
Miyori,GX.GC,1.01,212.1,1.05,69%,137.8,0.75,0.17,0.13,0.11,27%,25%
lucas,MFC,1.01,195.5,1.03,73%,130.5,0.68,0.30,0.05,0.09,31%,19%
Tara,XIP,1.00,171.6,1.08,80%,112.7,0.64,0.44,0.06,0.06,25%,8%
JuW,AKV.GC,1.00,208.6,1.11,72%,136.9,0.78,0.21,0.15,0.17,27%,22%
Loita,BCF,1.00,199.8,0.95,73%,135.2,0.67,0.44,0.09,0.12,39%,8%
zeek,Blue,1.00,190.6,1.00,72%,121.9,0.68,0.39,0.07,0.08,29%,14%
Celasun,SUP,1.00,185.7,1.06,73%,125.6,0.68,0.19,0.06,0.08,32%,13%
Dano,FSX,1.00,171.7,1.00,67%,115.9,0.67,0.31,0.05,0.05,30%,11%
Antidote,MOGO,1.00,168.4,0.95,72%,110.9,0.59,0.43,0.07,0.06,29%,16%
Boni,Burg,1.00,227.4,1.02,68%,145.1,0.78,0.26,0.21,0.19,23%,22%
soull,aldo,1.00,214.8,0.96,69%,144.2,0.76,0.31,0.09,0.16,29%,32%
Crus,FCY,1.00,189.4,0.92,73%,125.7,0.65,0.43,0.06,0.07,36%,6%
Marti,NSR.I,1.00,215.9,1.00,69%,143.0,0.73,0.19,0.16,0.20,28%,10%
Zellsis,SEN,1.00,196.8,0.99,74%,124.8,0.69,0.43,0.10,0.09,20%,6%
Sand,TU,1.00,190.5,1.08,66%,129.8,0.72,0.15,0.05,0.10,39%,19%
toozy,VZ,1.00,177.6,0.93,74%,119.8,0.61,0.44,0.04,0.05,25%,9%
suther,RETA,1.00,177.6,0.89,75%,116.6,0.61,0.42,0.08,0.07,24%,18%
k1Ng,DRGN,0.99,203.9,0.94,67%,130.8,0.73,0.29,0.09,0.09,20%,17%
Jonaaa6,FAIM,0.99,195.4,1.04,71%,129.7,0.70,0.19,0.09,0.09,33%,11%
marceline,SOL,0.99,222.9,1.06,67%,145.7,0.80,0.14,0.17,0.15,30%,16%
Nanners,LS,0.99,190.5,1.02,73%,126.8,0.68,0.25,0.08,0.08,27%,14%
rise,FLOP,0.99,184.6,0.95,70%,121.5,0.67,0.32,0.07,0.07,26%,9%
Luid,IMP,0.99,206.2,1.00,73%,137.1,0.71,0.28,0.09,0.09,32%,21%
hype,APK,0.99,198.4,0.99,70%,127.7,0.69,0.27,0.12,0.09,28%,24%
yatsuka,RID,0.99,198.3,1.05,69%,122.5,0.73,0.22,0.07,0.05,32%,32%
pryze,2G,0.99,164.9,0.99,74%,116.5,0.60,0.26,0.06,0.06,23%,20%
YoWamu,BCS,0.99,233.9,1.01,66%,150.1,0.76,0.26,0.17,0.21,26%,20%
aLerT,FS,0.99,195.1,0.95,71%,132.9,0.67,0.28,0.12,0.09,30%,15%
PTC,FS,0.99,184.2,0.96,70%,123.8,0.66,0.35,0.10,0.10,31%,15%
nerve,QOR,0.99,184.4,0.95,71%,123.0,0.65,0.40,0.06,0.08,34%,11%
jas0n,UCI,0.98,196.5,0.97,70%,131.6,0.70,0.31,0.09,0.14,28%,16%
eyan,ROSE,0.98,197.0,0.95,72%,132.9,0.68,0.40,0.07,0.06,30%,10%
Madelyn,RRQ,0.98,157.5,0.90,72%,105.3,0.56,0.47,0.06,0.05,21%,15%
addison,Raw,0.98,208.1,0.97,66%,137.3,0.76,0.24,0.11,0.14,37%,13%
Mezin,,0.98,198.1,0.96,72%,126.8,0.71,0.24,0.06,0.09,26%,
Angel,MVR,0.98,165.5,0.98,73%,113.5,0.62,0.35,0.05,0.07,41%,21%
Nami,NSR.I,0.98,194.2,0.95,73%,122.6,0.68,0.30,0.10,0.09,37%,12%
canezera,TOR,0.98,244.3,1.00,72%,160.7,0.82,0.28,0.20,0.17,29%,15%
benjii,FOE,0.98,185.7,0.97,68%,122.5,0.65,0.21,0.05,0.07,26%,10%
