player,org,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_wins,max_kills,kills,deaths,assists,first_kills,first_deaths
Muddy,YDZ,515,1.16,226.0,1.12,71%,151.0,0.78,0.33,0.09,0.08,32%,20%,13/66,25,401,359,170,44,41
ACHRF,OXR,241,1.16,224.6,1.13,75%,151.5,0.78,0.37,0.11,0.06,23%,8%,2/26,25,188,167,88,26,14
BuZz,T1,238,1.16,245.6,1.29,77%,153.2,0.86,0.18,0.20,0.14,19%,11%,2/18,22,204,158,44,47,33
Reta,FLCV,236,1.16,204.8,1.28,82%,137.9,0.77,0.27,0.10,0.06,39%,11%,3/27,26,181,141,63,23,14
Golden,,259,1.16,229.8,1.18,66%,147.7,0.83,0.17,0.19,0.10,24%,25%,7/28,29,216,183,45,48,25
meL,SR,445,1.16,216.5,1.28,76%,140.0,0.76,0.39,0.11,0.10,28%,18%,6/34,23,337,263,174,49,46
fluxxy,HERO,333,1.16,213.3,1.17,77%,139.6,0.77,0.33,0.07,0.05,31%,20%,13/64,29,258,220,109,24,17
Ivy,SPG,282,1.15,218.6,1.22,80%,141.9,0.77,0.33,0.06,0.06,33%,16%,6/37,27,216,177,92,16,16
Juicy,DSG,246,1.15,222.6,1.20,75%,153.0,0.77,0.26,0.13,0.13,21%,29%,7/24,28,189,158,64,33,32
SpYzera,TU,305,1.15,207.7,1.18,71%,138.3,0.76,0.30,0.08,0.07,31%,10%,3/31,24,232,196,90,24,21
Paincakes,FAIM,664,1.15,218.9,1.19,75%,140.9,0.79,0.35,0.08,0.09,31%,19%,11/59,26,524,439,233,54,58
micaela,KRÜ.B,213,1.15,186.5,1.32,78%,122.4,0.73,0.30,0.07,0.06,35%,17%,3/18,22,155,117,63,14,12
Kess,UT,449,1.15,229.8,1.13,73%,149.2,0.78,0.32,0.10,0.06,23%,8%,5/63,23,350,311,143,46,25
Dantedeu5,AK,448,1.15,254.4,1.15,74%,161.3,0.87,0.25,0.18,0.15,29%,18%,5/28,31,391,339,112,80,67
Xeppaa,C9,260,1.15,223.2,1.15,77%,142.7,0.78,0.43,0.08,0.08,25%,16%,6/37,24,203,176,113,22,21
soulcas,APK,250,1.15,204.4,1.21,71%,135.3,0.75,0.33,0.06,0.06,36%,14%,5/36,22,188,156,82,14,15
damaraa,LCR,243,1.15,286.9,1.18,76%,173.1,0.95,0.23,0.21,0.17,21%,,0/11,33,232,196,56,50,42
